,,,,,Games,Games,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Tackles,Tackles,Tackles
Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
505,Kevin Peterson\PeteKe01,ARI,25,,14,3,0,23,17,73.9%,277,16.3,12.0,0,113.9,8.0,123,154,3,0,0,0.0,0,22,4,15.4%
506,Dontari Poe\PoexDo00,CAR,29,NT,11,10,0,1,0,0.0%,0,,0.0,0,39.6,-2.0,0,0,0,1,2,4.0,7,22,2,8.3%
507,Damion Square\SquaDa00,LAC,30,,16,4,0,4,3,75.0%,28,9.3,7.0,0,93.7,-4.8,-13,41,0,2,1,0.0,3,27,4,12.9%
508,Shamar Stephen\StepSh00,MIN,28,RDT,15,15,0,1,0,0.0%,0,,0.0,0,39.6,-1.0,0,0,0,1,0,1.0,2,21,1,4.5%
509,Solomon Thomas\ThomSo00,SFO,24,,16,3,0,0,0,,0,,,0,,,0,0,0,2,4,2.0,8,21,1,4.5%
510,J.J. Watt\WattJ.00,HOU,30,LDE,8,8,0,0,0,,0,,,0,,,0,0,1,7,12,4.0,24,24,3,11.1%
511,Quinnen Williams\WillQu00,NYJ,22,RDT,13,9,0,0,0,,0,,,0,,,0,0,0,5,3,2.5,11,28,3,9.7%
512,Kenny Young\YounKe03,2TM,25,,14,3,0,4,4,100.0%,70,17.5,17.5,1,158.3,2.8,11,59,7,0,2,0.0,2,17,1,5.6%
513,Henry Anderson\AndeHe00,NYJ,28,LDE,13,13,0,3,3,100.0%,19,6.3,6.3,0,93.1,4.7,14,5,0,6,7,1.0,14,25,2,7.4%
514,Jeremiah Attaochu\AttaJe00,DEN,26,lolb,12,5,0,7,7,100.0%,106,15.1,15.1,1,158.3,-0.9,-6,112,10,4,2,3.5,10,21,2,8.7%
515,Anthony Averett\AverAn00,BAL,25,,9,3,0,36,21,58.3%,269,12.8,7.5,1,91.1,13.6,220,49,1,0,0,0.0,0,15,3,16.7%
516,Allen Bailey\BailAl00,ATL,30,rde,15,5,0,1,0,0.0%,0,,0.0,0,39.6,-5.0,0,0,0,1,1,1.0,3,26,8,23.5%
517,Ronald Blair\BlaiRo00,SFO,26,,9,0,0,0,0,,0,,,0,,,0,0,0,6,0,3.0,9,21,2,8.7%
518,Jonathan Bullard\BullJo00,ARI,26,LDE,9,6,0,1,1,100.0%,23,23.0,23.0,0,118.7,5.0,5,18,0,2,5,1.5,9,22,6,21.4%
519,Taco Charlton\CharTa00,MIA,25,lde,10,5,0,3,3,100.0%,31,10.3,10.3,0,109.7,1.3,4,27,3,3,2,5.0,10,21,0,0.0%
520,Folorunso Fatukasi\FatuFo00,NYJ,24,,14,0,0,1,1,100.0%,7,7.0,7.0,0,95.8,6.0,6,1,0,2,2,1.0,5,27,1,3.6%
521,Jerry Hughes\HughJe99,BUF,31,RDE,16,16,0,0,0,,0,,,0,,,0,0,1,8,4,4.5,17,23,6,20.7%
522,Margus Hunt\HuntMa00,IND,32,dt/ldt,16,5,0,2,2,100.0%,13,6.5,6.5,0,93.7,-2.0,-4,17,0,1,0,0.0,1,17,3,15.0%
523,Branden Jackson\JackBr04,SEA,27,,15,3,0,3,1,33.3%,12,12.0,4.0,0,46.5,0.7,6,6,0,4,1,2.0,7,20,2,9.1%
524,Quinton Jefferson\JeffQu00,SEA,26,DT/lolb,14,12,0,0,0,,0,,,0,,,0,0,0,5,7,3.5,16,26,5,16.1%
525,Efe Obada\ObadEf00,CAR,27,,16,0,0,0,0,,0,,,0,,,0,0,0,3,3,0.0,6,24,1,4.0%
526,Romeo Okwara\OkwaRo01,DET,24,,14,1,0,5,2,40.0%,9,4.5,1.8,0,47.9,6.2,6,3,6,5,8,1.5,15,28,2,6.7%
527,Patrick Robinson\RobiPa99,NOR,32,,11,0,0,23,13,56.5%,114,8.8,5.0,0,69.8,9.5,78,36,18,0,1,0.0,1,16,2,11.1%
528,Akeem Spence\SpenAk00,2TM,28,,15,0,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,18,0,0.0%
529,Grover Stewart\StewGr00,IND,26,LDT,16,13,0,0,0,,0,,,0,,,0,0,0,5,2,3.0,10,30,1,3.2%
530,Sione Takitaki\TakiSi00,CLE,24,,15,1,0,2,2,100.0%,14,7.0,7.0,0,95.8,1.0,2,12,4,1,0,0.0,1,21,1,4.5%
531,Deionte Thompson\ThomDe06,ARI,22,,11,2,0,5,5,100.0%,71,14.2,14.2,0,118.7,7.8,39,32,5,0,1,0.0,1,18,2,10.0%
532,Josh Tupou\TupoJo00,CIN,25,dt,16,7,0,0,0,,0,,,0,,,0,0,0,4,0,0.0,4,27,1,3.6%
533,Stephen Weatherly\WeatSt00,MIN,25,/de,16,1,0,1,1,100.0%,7,7.0,7.0,0,95.8,-3.0,-3,10,0,5,6,3.0,14,24,1,4.0%
534,Darious Williams\WillDa09,LAR,26,,12,3,2,21,15,71.4%,197,13.1,9.4,1,77.0,10.2,125,72,1,0,0,0.0,0,15,1,6.3%
535,Brandon Wilson\WilsBr01,CIN,25,,12,2,0,10,5,50.0%,100,20.0,10.0,0,85.4,13.0,70,30,4,0,0,0.0,0,24,3,11.1%
536,Ugo Amadi\AmadUg00,SEA,22,,16,0,0,11,9,81.8%,76,8.4,6.9,0,95.5,1.1,15,61,5,0,0,0.0,0,17,0,0.0%
537,John Atkins\AtkiJo01,DET,27,dt,12,6,0,0,0,,0,,,0,,,0,0,0,2,0,0.0,2,20,2,9.1%
538,Dylan Cole\ColeDy00,HOU,25,,11,0,0,9,3,33.3%,43,14.3,4.8,0,49.8,4.1,18,25,1,0,0,0.0,0,16,1,5.9%
539,Aaron Colvin\ColvAa00,2TM,28,,7,3,0,23,20,87.0%,289,14.5,12.6,3,158.3,11.0,235,54,0,0,0,0.0,0,15,2,11.8%
540,Kyler Fackrell\FackKy00,GNB,28,,16,0,0,10,8,80.0%,42,5.3,4.2,0,84.2,2.5,8,34,17,3,7,1.0,12,23,3,11.5%
541,Clayton Fejedelem\FejeCl00,CIN,26,,16,0,0,9,6,66.7%,91,15.2,10.1,0,99.8,19.8,63,28,3,1,0,0.0,1,15,0,0.0%
542,Rashan Gary\GaryRa00,GNB,22,,16,0,0,3,2,66.7%,36,18.0,12.0,0,107.6,6.7,20,16,5,2,1,2.0,5,21,3,12.5%
543,Reggie Gilbert\GilbRe01,TEN,26,LOLB,11,5,0,6,5,83.3%,73,14.6,12.2,1,156.9,2.2,16,57,15,1,2,1.0,4,22,1,4.3%
544,J.T. Gray\GrayJ.00,NOR,23,,16,0,0,0,0,,0,,,0,,,0,0,2,0,0,0.0,0,17,0,0.0%
545,Zach Kerr\KerrZa00,ARI,29,/de,12,3,0,0,0,,0,,,0,,,0,0,0,2,2,0.0,4,19,1,5.0%
546,Mike Pennel\PennMi00,KAN,28,,8,0,0,0,0,,0,,,0,,,0,0,1,2,1,1.0,4,24,1,4.0%
547,Khalen Saunders\SaunKh00,KAN,23,,12,4,0,0,0,,0,,,0,,,0,0,0,1,1,1.0,3,22,0,0.0%
548,Cameron Sutton\SuttCa00,PIT,24,,16,0,1,25,14,56.0%,132,9.4,5.3,0,54.1,10.9,84,48,3,0,0,1.0,1,16,2,11.1%
549,Desmond Trufant\TrufDe00,ATL,29,cb/RCB,9,9,4,38,25,65.8%,436,17.4,11.5,4,100.2,13.0,294,142,0,0,0,0.0,0,18,4,18.2%
550,DeMarcus Walker\WalkDe03,DEN,25,,10,1,0,1,0,0.0%,0,,0.0,0,39.6,-2.0,0,0,5,1,1,4.0,6,22,3,12.0%
551,Armani Watts\WattAr00,KAN,23,,16,0,0,4,3,75.0%,37,12.3,9.3,0,103.1,12.8,34,3,2,0,0,1.0,1,17,0,0.0%
552,Brandon Williams\WillBr02,BAL,30,LDE,14,14,0,0,0,,0,,,0,,,0,0,0,0,3,1.0,4,34,1,2.9%
553,Ezekiel Ansah\AnsaEz00,SEA,30,/de,11,1,0,2,0,0.0%,0,,0.0,0,39.6,-0.5,0,0,0,3,4,2.5,10,18,4,18.2%
554,Dorance Armstrong Jr.\ArmsDo00,DAL,22,,15,0,0,0,0,,0,,,0,,,0,0,0,3,3,2.0,8,15,2,11.8%
555,Adrian Clayborn\ClayAd00,ATL,31,/de,15,1,0,1,1,100.0%,16,16.0,16.0,0,118.7,4.0,4,12,0,5,3,4.0,12,18,0,0.0%
556,Morgan Fox\FoxxMo00,LAR,25,,16,3,0,0,0,,0,,,0,,,0,0,0,2,1,2.0,5,18,2,10.0%
557,Phillip Gaines\GainPh00,HOU,28,,6,2,0,24,14,58.3%,184,13.1,7.7,3,122.2,10.5,127,57,1,1,0,0.0,1,13,1,7.1%
558,Antonio Hamilton\HamiAn01,NYG,26,/cb,16,2,0,18,12,66.7%,156,13.0,8.7,0,93.7,11.3,105,51,2,1,0,0.0,1,17,3,15.0%
559,Holton Hill\HillHo00,MIN,22,,8,1,0,9,6,66.7%,70,11.7,7.8,0,90.0,12.7,56,14,0,0,0,0.0,0,13,2,13.3%
560,Justin Hollins\HollJu00,DEN,23,,15,0,0,10,8,80.0%,48,6.0,4.8,1,120.0,2.0,25,23,22,3,1,1.0,4,21,2,8.7%
561,Xavien Howard\HowaXa00,MIA,26,LCB,5,5,1,26,17,65.4%,237,13.9,9.1,3,117.0,11.0,133,104,1,0,0,0.0,0,17,3,15.0%
562,Craig James\JameCr01,PHI,23,,14,1,0,9,5,55.6%,49,9.8,5.4,1,108.1,11.7,27,22,2,0,0,0.0,0,15,1,6.3%
563,Anthony Levine\LeviAn00,BAL,32,,16,0,0,10,7,70.0%,73,10.4,7.3,0,90.8,6.6,34,39,27,1,2,0.0,3,14,2,12.5%
564,Star Lotulelei\LotuSt00,BUF,30,RDT,16,16,1,3,2,66.7%,-3,-1.5,-1.0,0,30.6,-4.7,-6,3,0,1,1,2.0,4,19,3,13.6%
565,Keisean Nixon\NixoKe00,OAK,22,,14,0,0,7,6,85.7%,128,21.3,18.3,0,118.7,14.3,91,37,0,0,0,0.0,0,12,1,7.7%
566,Duke Riley\RileDu00,2TM,25,,16,0,0,3,2,66.7%,5,2.5,1.7,0,70.1,4.7,-1,6,1,0,0,0.0,0,14,0,0.0%
567,Dawuane Smoot\SmooDa00,JAX,24,,16,0,0,0,0,,0,,,0,,,0,0,0,2,1,6.0,9,17,0,0.0%
568,Azeez Al-Shaair\AlShAz00,SFO,22,,15,4,0,11,9,81.8%,80,8.9,7.3,0,97.0,0.1,-2,82,4,0,0,0.0,0,18,7,28.0%
569,Angelo Blackson\BlacAn00,HOU,27,RDE,15,15,0,1,1,100.0%,3,3.0,3.0,1,118.7,-3.0,-3,6,0,1,1,0.0,2,20,0,0.0%
570,Anthony Brown\BrowAn02,DAL,26,,9,4,0,25,15,60.0%,167,11.1,6.7,0,79.9,10.0,96,71,7,0,0,0.0,0,17,7,29.2%
571,Vontaze Burfict\BurfVo00,OAK,29,MLB,4,4,0,13,9,69.2%,87,9.7,6.7,1,113.3,6.7,44,43,8,0,0,0.0,0,18,5,21.7%
572,Brandon Dunn\DunnBr00,HOU,27,lde,16,6,0,0,0,,0,,,0,,,0,0,0,1,2,1.0,4,25,3,10.7%
573,Rashad Fenton\FentRa00,KAN,22,,12,0,1,17,8,47.1%,87,10.9,5.1,1,57.7,15.3,65,22,7,0,1,0.0,1,15,0,0.0%
574,Mike Ford\FordMi01,DET,24,,15,2,0,19,9,47.4%,114,12.7,6.0,2,101.6,14.8,93,21,0,0,0,0.0,0,12,3,20.0%
575,Adam Gotsis\GotsAd00,DEN,27,/de,9,3,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,16,4,20.0%
576,Charles Harris\HarrCh03,MIA,24,lb,14,5,0,1,1,100.0%,5,5.0,5.0,0,87.5,-3.0,-3,8,1,1,5,0.5,7,23,3,11.5%
577,Trey Hendrickson\HendTr00,NOR,25,,13,3,0,0,0,,0,,,0,,,0,0,1,8,4,4.5,17,19,1,5.0%
578,Maurice Hurst Jr.\HursMa00,OAK,24,,16,4,1,1,0,0.0%,0,,0.0,0,0.0,-10.0,0,0,0,6,2,3.5,12,18,2,10.0%
579,Isaiah Irving\IrviIs00,CHI,25,,13,0,0,1,0,0.0%,0,,0.0,0,39.6,5.0,0,0,5,0,1,0.0,1,14,1,6.7%
580,Josh Jackson\JackJo01,GNB,23,,14,0,0,7,6,85.7%,63,10.5,9.0,1,143.7,7.4,52,11,0,0,0,0.0,0,11,1,8.3%
581,Tony Jefferson\JeffTo00,BAL,27,fs/ss,5,5,0,14,8,57.1%,247,30.9,17.6,2,141.4,13.6,103,144,14,1,0,0.0,1,21,4,16.0%
582,Austin Johnson\JohnAu01,TEN,25,/nt,16,1,0,1,1,100.0%,1,1.0,1.0,0,79.2,-5.0,-5,6,0,3,1,0.0,4,23,4,14.8%
583,Akeem King\KingAk00,SEA,27,/cb,13,3,0,18,10,55.6%,152,15.2,8.4,1,102.1,12.9,98,54,6,0,1,0.0,1,17,0,0.0%
584,Marquel Lee\LeexMa01,OAK,24,,5,3,0,2,2,100.0%,32,16.0,16.0,0,118.7,7.5,15,17,6,0,0,0.0,0,11,0,0.0%
585,Josh Mauro\MaurJo00,OAK,28,rde,13,7,0,3,1,33.3%,1,1.0,0.3,0,42.4,0.0,-4,5,0,2,0,0.0,2,19,1,5.0%
586,Rolan Milligan\MillRo03,IND,25,,11,1,0,15,11,73.3%,114,10.4,7.6,1,117.1,9.3,75,39,12,0,1,0.0,1,15,1,6.3%
587,Avery Moss\MossAv00,MIA,25,LDE,11,8,0,1,1,100.0%,1,1.0,1.0,0,79.2,-2.0,-2,3,10,0,0,0.0,0,25,4,13.8%
588,Keanu Neal\NealKe01,ATL,24,,3,3,0,10,7,70.0%,60,8.6,6.0,0,85.4,6.2,38,22,2,0,1,0.0,1,14,2,12.5%
589,D.J. Reed\ReedD.00,SFO,23,,16,0,0,12,8,66.7%,109,13.6,9.1,1,123.3,5.8,41,68,2,1,0,0.0,1,13,1,7.1%
590,Kevin Toliver\ToliKe00,CHI,24,,12,1,0,16,11,68.8%,162,14.7,10.1,1,122.4,12.4,141,21,0,0,0,0.0,0,13,4,23.5%
591,Andrew Van Ginkel\VanGAn00,MIA,24,,6,1,0,3,3,100.0%,14,4.7,4.7,0,86.1,0.7,2,12,24,0,3,1.0,4,15,2,11.8%
592,Antwaun Woods\WoodAn02,DAL,26,RDT,10,10,0,0,0,,0,,,0,,,0,0,0,1,1,0.0,2,23,3,11.5%
593,Oshane Ximines\XimiOs00,NYG,23,,16,2,0,2,1,50.0%,14,14.0,7.0,1,112.5,0.5,-3,17,28,2,3,4.5,12,25,0,0.0%
594,Briean Boddy-Calhoun\BoddBr01,2TM,26,,3,1,0,8,7,87.5%,45,6.4,5.6,0,90.1,3.5,23,22,5,0,0,2.0,2,13,0,0.0%
595,Nate Brooks\BrooNa00,MIA,23,,3,2,0,15,8,53.3%,127,15.9,8.5,1,104.0,13.3,106,21,0,0,0,0.0,0,11,0,0.0%
596,Andrew Brown\BrowAn05,CIN,24,,14,1,0,0,0,,0,,,0,,,0,0,0,2,1,0.0,3,14,3,17.6%
597,Ryan Connelly\ConnRy00,NYG,24,,4,3,2,7,4,57.1%,19,4.8,2.7,0,22.6,5.0,17,2,9,1,0,1.0,2,20,0,0.0%
598,Bryan Cox Jr.\CoxxBr01,2TM,25,,7,2,0,1,1,100.0%,-7,-7.0,-7.0,0,79.2,-6.0,-6,-1,4,3,4,0.5,8,14,4,22.2%
599,Keion Crossen\CrosKe00,HOU,23,,16,0,0,6,4,66.7%,35,8.8,5.8,0,81.9,13.3,25,10,0,0,0,0.0,0,13,1,7.1%
600,Sheldon Day\DayxSh00,SFO,25,,16,2,0,0,0,,0,,,0,,,0,0,0,1,1,1.0,3,15,1,6.3%
601,Sharif Finch\FincSh00,TEN,24,,8,3,0,0,0,,0,,,0,,,0,0,10,2,0,2.0,4,13,0,0.0%
602,Dee Ford\FordDe00,SFO,28,,11,2,0,0,0,,0,,,0,,,0,0,6,8,1,6.5,16,14,0,0.0%
603,Justin Hardee\HardJu01,NOR,25,,16,0,0,10,7,70.0%,111,15.9,11.1,0,106.7,10.7,82,29,1,1,0,0.0,1,11,1,8.3%
604,Akiem Hicks\HickAk00,CHI,30,lde,5,5,0,0,0,,0,,,0,,,0,0,0,4,4,1.0,9,10,1,9.1%
605,Kerry Hyder\HydeKe01,DAL,28,,16,0,0,1,1,100.0%,3,3.0,3.0,0,79.2,-4.0,-4,7,2,7,2,1.0,10,17,3,15.0%
606,Danny Johnson\JohnDa09,WAS,24,,2,2,0,7,5,71.4%,67,13.4,9.6,0,101.5,7.9,39,28,0,0,0,0.0,0,11,2,15.4%
607,Darryl Johnson\JohnDa10,BUF,22,,16,0,0,0,0,,0,,,0,,,0,0,0,3,1,1.0,5,15,0,0.0%
608,Peter Kalambayi\KalaPe00,HOU,24,,16,0,0,3,3,100.0%,44,14.7,14.7,0,118.7,11.0,33,11,2,0,0,0.0,0,18,2,10.0%
609,Harvey Langi\LangHa00,NYJ,27,,16,3,0,3,2,66.7%,17,8.5,5.7,0,81.2,4.7,5,12,5,0,0,0.0,0,16,0,0.0%
610,Corey Liuget\LiugCo00,2TM,29,,10,0,0,0,0,,0,,,0,,,0,0,0,0,1,1.0,2,13,0,0.0%
611,Frankie Luvu\LuvuFr00,NYJ,23,,13,0,0,3,3,100.0%,20,6.7,6.7,0,94.4,4.7,14,6,3,1,1,1.0,3,12,2,14.3%
612,Justin March-Lillard\MarcJu00,DAL,26,,16,0,0,11,7,63.6%,73,10.4,6.6,0,82.8,3.0,24,49,1,0,0,0.0,0,12,2,14.3%
613,Dean Marlowe\MarlDe00,BUF,27,,9,2,0,10,7,70.0%,41,5.9,4.1,1,110.8,5.5,24,17,6,0,0,0.0,0,11,0,0.0%
614,Benson Mayowa\MayoBe00,OAK,28,,15,0,0,1,1,100.0%,9,9.0,9.0,0,104.2,2.0,2,7,0,3,4,7.0,15,15,2,11.8%
615,Jeremy Reaves\ReavJe00,WAS,23,,9,3,0,5,3,60.0%,58,19.3,11.6,1,140.0,13.2,21,37,1,0,1,0.0,1,15,1,6.3%
616,Jarran Reed\ReedJa02,SEA,27,LDT,10,10,0,1,0,0.0%,0,,0.0,0,39.6,9.0,0,0,0,5,5,2.0,13,27,5,15.6%
617,Ryan Smith\SmitRy00,TAM,26,,12,0,0,10,8,80.0%,152,19.0,15.2,1,152.1,10.5,77,75,0,0,0,0.0,0,11,3,21.4%
618,Brent Urban\UrbaBr00,2TM,28,,13,0,0,1,1,100.0%,6,6.0,6.0,0,91.7,-3.0,-3,9,0,0,1,0.0,1,16,1,5.9%
619,Carlos Watkins\WatkCa00,HOU,26,,10,1,0,2,2,100.0%,18,9.0,9.0,0,104.2,-3.5,-7,25,0,2,1,1.0,4,23,3,11.5%
620,Cody Barton\BartCo00,SEA,23,,16,2,0,9,7,77.8%,85,12.1,9.4,0,106.0,0.9,6,79,8,1,1,0.0,2,23,2,8.0%
621,De'Vante Bausby\BausDe00,DEN,26,,5,2,0,15,8,53.3%,75,9.4,5.0,0,67.4,10.2,53,22,0,0,0,0.0,0,13,3,18.8%
622,Justin Bethel\BethJu00,2TM,29,,16,0,0,2,1,50.0%,29,29.0,14.5,0,95.8,19.5,29,0,0,0,0,0.0,0,12,1,7.7%
623,Anthony Chickillo\ChicAn00,PIT,27,,11,0,0,1,0,0.0%,0,,0.0,0,39.6,0.0,0,0,8,1,0,0.5,2,19,0,0.0%
624,Morris Claiborne\ClaiMo00,KAN,29,/cb,8,1,0,7,4,57.1%,41,10.3,5.9,0,74.1,12.6,23,18,0,0,0,0.0,0,14,0,0.0%
625,Deshazor Everett\EverDe01,WAS,27,,7,0,0,3,3,100.0%,33,11.0,11.0,1,152.1,8.0,24,9,0,0,0,0.0,0,13,1,7.1%
626,David Long\LongDa04,TEN,21,,14,0,0,7,5,71.4%,48,9.6,6.9,0,90.2,5.9,11,37,3,1,0,0.0,1,15,3,16.7%
627,Sherrick McManis\McMaSh99,CHI,32,,9,0,0,3,3,100.0%,9,3.0,3.0,0,79.2,-0.7,-2,11,1,0,0,0.0,0,11,1,8.3%
628,A.J. Moore\MoorA.00,HOU,24,,16,0,0,0,0,,0,,,0,,,0,0,4,0,0,0.0,0,14,0,0.0%
629,Chris Odom\OdomCh00,WAS,25,,4,0,0,2,2,100.0%,10,5.0,5.0,0,87.5,2.0,4,6,1,0,0,2.0,2,10,0,0.0%
630,Tim Settle\SettTi00,WAS,22,,15,1,0,0,0,,0,,,0,,,0,0,0,2,3,2.0,7,14,1,6.7%
631,Tedric Thompson\ThomTe00,SEA,24,FS,6,6,2,15,9,60.0%,222,24.7,14.8,1,86.8,17.3,198,24,0,0,0,0.0,0,19,1,5.0%
632,Jerry Tillery\TillJe00,LAC,23,,15,3,0,0,0,,0,,,0,,,0,0,0,0,0,2.0,3,17,0,0.0%
633,Quincy Wilson\WilsQu01,IND,23,,9,0,0,18,13,72.2%,174,13.4,9.7,2,139.6,8.9,122,52,5,1,0,0.0,1,11,1,8.3%
634,Matthew Adams\AdamMa00,IND,24,,16,4,0,4,4,100.0%,53,13.3,13.3,0,118.7,7.8,31,22,4,0,0,0.0,0,10,2,16.7%
635,Maurice Alexander\AlexMa00,BUF,28,,7,0,0,5,4,80.0%,49,12.3,9.8,0,107.5,4.0,20,29,2,0,0,0.0,0,11,0,0.0%
636,Jatavis Brown\BrowJa05,LAC,25,,13,1,0,7,6,85.7%,52,8.7,7.4,0,97.6,2.4,14,38,1,0,0,0.0,0,10,3,23.1%
637,Deon Bush\BushDe00,CHI,26,,15,0,0,6,4,66.7%,34,8.5,5.7,0,81.2,10.2,19,15,0,0,0,0.0,0,8,0,0.0%
638,Ibraheim Campbell\CampIb00,GNB,27,,7,3,0,19,12,63.2%,107,8.9,5.6,0,78.2,4.2,44,63,7,0,0,0.0,0,14,3,17.6%
639,Marcell Dareus\DareMa00,JAX,29,rdt,6,6,0,0,0,,0,,,0,,,0,0,0,1,0,0.5,2,13,1,7.1%
640,Cody Davis\DaviCo02,JAX,30,,16,0,0,3,1,33.3%,24,24.0,8.0,0,63.2,18.7,22,2,0,0,0,0.0,0,13,0,0.0%
641,Ben Gedeon\GedeBe00,MIN,25,LLB,8,5,0,2,2,100.0%,20,10.0,10.0,0,108.3,-1.5,-3,23,3,0,0,0.0,0,13,2,13.3%
642,Carl Granderson\GranCa01,NOR,23,,8,0,0,1,1,100.0%,28,28.0,28.0,0,118.7,21.0,21,7,0,1,1,1.0,3,11,1,8.3%
643,Dre'Mont Jones\JoneDr00,DEN,22,,14,1,1,1,1,100.0%,11,11.0,11.0,0,72.9,-2.0,-2,13,0,1,1,3.5,6,14,0,0.0%
644,Chris Lammons\LammCh00,MIA,23,,12,0,1,16,12,75.0%,176,14.7,11.0,2,124.0,12.8,126,50,4,0,0,0.0,0,13,2,13.3%
645,David Long\LongDa02,LAR,21,,8,0,0,13,9,69.2%,100,11.1,7.7,1,117.5,11.5,64,36,1,0,0,0.0,0,9,0,0.0%
646,Mark Nzeocha\NzeoMa00,SFO,29,,16,0,1,1,0,0.0%,0,,0.0,0,0.0,3.0,0,0,0,0,0,0.0,0,10,0,0.0%
647,Charles Omenihu\OmenCh00,HOU,22,,14,0,0,1,1,100.0%,4,4.0,4.0,0,83.3,4.0,4,0,0,7,3,3.0,13,13,2,13.3%
648,Nate Orchard\OrchNa00,WAS,26,,5,0,0,0,0,,0,,,0,,,0,0,8,2,1,1.0,4,14,2,12.5%
649,Kareem Orr\OrrxKa00,TEN,22,,2,0,0,5,3,60.0%,26,8.7,5.2,0,73.7,8.0,10,16,0,0,0,0.0,0,9,0,0.0%
650,Patrick Ricard*\RicaPa00,BAL,25,FB,16,7,0,0,0,,0,,,0,,,0,0,10,0,1,1.0,2,9,1,10.0%
651,Coty Sensabaugh\SensCo00,2TM,31,,6,2,0,14,7,50.0%,71,10.1,5.1,1,88.7,6.9,48,23,4,0,0,0.0,0,11,0,0.0%
652,Jacob Tuioti-Mariner\TuioJa00,ATL,23,,8,1,0,2,2,100.0%,3,1.5,1.5,1,118.7,0.0,0,3,0,2,0,0.0,2,14,0,0.0%
653,Shy Tuttle\TuttSh00,NOR,24,,16,1,1,1,1,100.0%,1,1.0,1.0,0,39.6,-6.0,-6,7,0,2,1,2.0,6,18,1,5.3%
654,Tanner Vallejo\VallTa00,2TM,25,,11,0,0,2,2,100.0%,13,6.5,6.5,0,93.7,-4.5,-9,22,1,0,0,1.0,1,8,1,11.1%
655,Tyrell Adams\AdamTy00,HOU,27,,5,2,0,7,3,42.9%,50,16.7,7.1,0,67.6,10.1,50,0,6,1,0,0.0,1,13,2,13.3%
656,Jamal Agnew\AgneJa00,DET,24,,13,0,0,6,5,83.3%,43,8.6,7.2,0,96.5,8.7,32,11,0,0,0,0.0,0,9,1,10.0%
657,Alex Anzalone\AnzaAl00,NOR,25,,2,0,0,3,2,66.7%,19,9.5,6.3,0,84.0,4.0,8,11,1,0,0,1.0,1,7,0,0.0%
658,Ben Banogu\BanoBe00,IND,23,,16,0,0,0,0,,0,,,0,,,0,0,0,3,2,2.5,8,11,0,0.0%
659,Tony Brown\BrowTo01,GNB,24,,9,0,0,5,4,80.0%,61,15.3,12.2,0,117.5,11.4,55,6,0,0,0,0.0,0,11,0,0.0%
660,Oren Burks\BurkOr00,GNB,24,,12,0,0,4,1,25.0%,27,27.0,6.8,0,55.2,2.8,-6,33,1,0,0,0.0,0,11,0,0.0%
661,Tae Davis\DaviTa00,2TM,23,,13,1,0,5,3,60.0%,19,6.3,3.8,0,67.9,2.8,6,13,2,0,1,0.0,1,12,0,0.0%
662,Ashton Dulin\DuliAs00,IND,22,,13,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,7,1,12.5%
663,C.J. Goodwin\GoodC.00,DAL,29,,16,0,0,2,2,100.0%,12,6.0,6.0,0,91.7,6.0,12,0,0,0,0,0.0,0,9,0,0.0%
664,Porter Gustin\GustPo01,CLE,22,,6,0,0,0,0,,0,,,0,,,0,0,3,1,1,1.0,3,13,1,7.1%
665,Timmy Jernigan\JernTi00,PHI,27,dt/LDT,10,9,0,0,0,,0,,,0,,,0,0,0,0,1,2.0,3,10,1,9.1%
666,Jaquan Johnson\JohnJa11,BUF,24,,13,0,0,2,2,100.0%,13,6.5,6.5,0,93.7,-3.0,-6,19,0,0,0,0.0,0,8,0,0.0%
667,Cre'von LeBlanc\LeBlCr01,PHI,25,,4,1,0,9,6,66.7%,44,7.3,4.9,0,78.0,3.0,13,31,3,0,0,0.0,0,8,0,0.0%
668,Steve Longa\LongSt00,DET,25,,10,0,0,1,1,100.0%,9,9.0,9.0,0,104.2,9.0,9,0,1,0,0,0.0,0,15,2,11.8%
669,Domata Peko\PekoDo20,BAL,35,/nt,7,3,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,14,1,6.7%
670,Olsen Pierre\PierOl00,NYG,28,,9,0,0,1,1,100.0%,41,41.0,41.0,0,118.7,0.0,0,41,0,0,0,2.0,2,8,1,11.1%
671,Sheldon Rankins\RankSh00,NOR,25,,10,0,0,1,1,100.0%,12,12.0,12.0,0,116.7,-1.0,-1,13,2,4,2,2.0,8,10,1,9.1%
672,Aqib Talib\TaliAq99,LAR,33,rcb,5,5,0,31,18,58.1%,231,12.8,7.5,3,113.8,10.9,182,49,0,0,0,0.0,0,14,2,12.5%
